"country" "taxRich" "religiousLaw" "freeElection" "helpUnemp" "armyTakesOver" "civilRights" "equalIncome" "obeyRulers" "genderEquality" "importance"
"362" "Belarus" 9 7 9 9 9 10 7 5 10 9
"363" "Belarus" 9 8 10 5 1 10 10 5 10 10
"364" "Belarus" 3 3 10 7 8 10 9 9 10 10
"365" "Belarus" 8 4 10 9 8 8 9 9 10 10
"366" "Belarus" 8 7 10 10 9 10 10 8 10 9
"367" "Belarus" 9 7 10 10 10 8 9 3 9 8
"368" "Belarus" 6 5 9 8 5 10 6 5 10 10
"369" "Belarus" 6 5 6 10 6 6 5 4 7 8
"370" "Belarus" 4 3 8 6 3 9 9 8 10 7
"371" "Belarus" 3 1 3 6 1 4 6 5 5 7
"372" "Belarus" 10 9 8 8 5 6 3 4 5 10
"373" "Belarus" 9 8 5 6 5 4 4 6 9 8
"374" "Belarus" 5 4 6 8 7 6 8 4 5 10
"375" "Belarus" 10 6 7 5 4 3 5 7 9 8
"376" "Belarus" 6 2 7 9 9 10 9 5 3 8
"377" "Belarus" 4 5 3 5 7 6 8 9 5 4
"378" "Belarus" 9 8 7 4 5 5 4 6 7 7
"379" "Belarus" 5 6 4 6 7 7 6 5 3 7
"380" "Belarus" 4 3 7 8 7 6 7 6 4 6
"381" "Belarus" 10 9 8 6 4 4 5 6 7 8
"382" "Belarus" 6 5 5 5 4 6 7 8 7 8
"383" "Belarus" 4 1 1 1 1 9 9 1 1 8
"384" "Belarus" 7 3 10 5 1 10 7 2 6 10
"385" "Belarus" 7 1 10 10 10 10 10 4 10 10
"386" "Belarus" 8 1 10 8 1 10 5 5 10 10
"387" "Belarus" 5 1 10 8 1 10 10 6 10 10
"388" "Belarus" 8 3 10 10 3 10 5 5 10 10
"389" "Belarus" 1 1 10 5 1 10 3 8 10 4
"390" "Belarus" 10 1 10 8 1 10 10 1 10 9
"391" "Belarus" 6 1 10 8 6 10 10 6 10 10
"392" "Belarus" 6 3 10 9 1 9 5 2 10 10
"393" "Belarus" 10 6 10 10 3 10 10 9 10 7
"394" "Belarus" 6 1 10 8 1 10 5 1 10 8
"395" "Belarus" 5 1 10 10 1 10 5 1 10 1
"396" "Belarus" 1 1 10 10 1 10 4 10 10 8
"397" "Belarus" 5 1 8 5 1 8 5 1 8 8
"398" "Belarus" 3 3 10 8 1 10 5 2 10 7
"399" "Belarus" 1 1 10 10 1 1 1 1 10 8
"400" "Belarus" 5 5 5 5 5 5 5 5 5 5
"401" "Belarus" 1 1 10 10 1 10 5 1 10 5
"402" "Belarus" 1 1 10 10 1 10 1 1 10 8
"403" "Belarus" 2 2 10 8 1 10 5 5 10 5
"404" "Belarus" 5 1 10 10 1 10 5 1 10 10
"405" "Belarus" 10 1 10 10 1 10 3 1 10 7
"406" "Belarus" 5 5 5 5 5 5 5 5 5 5
"407" "Belarus" 5 1 10 10 1 10 5 1 10 8
"408" "Belarus" 10 1 10 10 1 10 10 1 10 10
"409" "Belarus" 5 5 5 5 5 5 5 5 5 5
"410" "Belarus" 5 5 5 5 5 5 5 5 5 5
"411" "Belarus" 5 5 5 5 5 5 5 5 5 5
"412" "Belarus" 1 1 10 10 1 10 5 1 10 8
"413" "Belarus" 8 1 10 10 1 10 6 1 10 10
"414" "Belarus" 2 2 3 7 2 8 7 7 9 6
"415" "Belarus" 5 1 10 10 1 10 5 1 10 5
"416" "Belarus" 5 5 5 5 5 5 5 5 5 5
"417" "Belarus" 5 5 5 5 5 5 5 5 5 5
"418" "Belarus" 1 1 10 5 1 10 2 1 10 5
"419" "Belarus" 5 1 10 5 1 8 8 1 10 10
"420" "Belarus" 5 1 10 10 1 10 1 1 10 8
"421" "Belarus" 1 1 10 5 1 10 1 1 10 8
"422" "Belarus" 5 5 5 5 5 5 5 5 5 5
"423" "Belarus" 5 1 10 5 1 10 5 1 10 5
"424" "Belarus" 5 5 5 5 5 5 5 5 5 5
"425" "Belarus" 10 1 10 10 1 10 5 1 10 8
"426" "Belarus" 1 1 10 10 1 10 1 1 10 10
"427" "Belarus" 5 1 10 10 1 10 5 1 10 8
"428" "Belarus" 10 1 10 10 1 10 10 1 10 5
"429" "Belarus" 5 1 10 10 1 10 5 1 10 8
"430" "Belarus" 10 1 10 10 1 10 10 1 10 5
"431" "Belarus" 1 1 10 10 1 10 1 1 10 8
"432" "Belarus" 5 1 10 10 1 10 5 1 10 10
"433" "Belarus" 5 1 10 5 1 10 5 1 10 8
"434" "Belarus" 5 5 10 10 5 10 10 10 10 10
"435" "Belarus" 10 1 10 8 5 10 10 10 10 10
"436" "Belarus" 8 1 5 8 5 10 10 10 10 10
"437" "Belarus" 5 2 5 6 1 10 10 10 10 8
"438" "Belarus" 8 1 10 5 5 10 10 8 10 10
"439" "Belarus" 8 1 5 9 2 9 9 9 9 9
"440" "Belarus" 9 2 9 9 5 10 10 9 10 8
"441" "Belarus" 5 5 10 10 5 10 10 10 10 10
"442" "Belarus" 5 5 10 7 5 10 10 10 10 10
"443" "Belarus" 10 1 10 10 5 10 10 10 10 10
"444" "Belarus" 5 5 10 8 5 10 10 10 10 10
"445" "Belarus" 5 1 10 5 5 10 10 10 10 10
"446" "Belarus" 5 1 10 10 5 10 10 10 10 10
"447" "Belarus" 5 5 10 10 5 10 10 10 10 10
"448" "Belarus" 5 1 10 8 1 8 5 1 10 10
"449" "Belarus" 5 5 5 5 5 5 5 5 5 10
"450" "Belarus" 5 1 10 5 1 10 5 1 10 8
