"country","taxRich","religiousLaw","freeElection","helpUnemp","armyTakesOver","civilRights","equalIncome","obeyRulers","genderEquality","importance"
"Estonia",10,1,10,10,1,10,7,1,10,10
"Estonia",10,1,10,8,2,8,10,2,8,5
"Estonia",10,4,10,8,8,9,10,8,8,10
"Estonia",6,6,10,10,6,10,6,6,10,10
"Estonia",10,5,10,10,1,10,5,5,10,10
"Estonia",7,5,5,10,5,8,8,9,9,8
"Estonia",10,10,10,9,1,10,10,2,10,10
"Estonia",8,1,10,10,1,10,6,4,8,9
"Estonia",7,2,10,9,6,7,6,7,8,7
"Estonia",8,4,9,9,3,10,8,6,10,8
"Estonia",10,2,10,10,3,10,9,10,10,10
"Estonia",10,5,10,10,2,9,5,4,10,8
"Estonia",4,1,2,6,1,10,1,10,1,3
"Estonia",10,1,5,10,1,10,10,1,10,6
"Estonia",8,2,9,10,4,8,9,8,9,9
"Estonia",8,3,5,8,3,6,6,4,9,8
"Estonia",10,1,10,10,6,10,6,6,10,10
"Estonia",9,1,10,10,2,8,8,2,9,9
"Estonia",8,1,10,10,8,10,5,5,5,6
"Estonia",10,8,10,10,3,6,10,4,6,5
"Estonia",3,2,8,6,2,5,3,3,9,8
"Estonia",9,4,8,9,1,8,6,1,10,10
"Estonia",7,7,10,10,5,8,10,5,5,8
"Estonia",8,7,10,10,3,10,5,1,10,9
"Estonia",10,1,10,10,1,10,6,10,10,10
"Estonia",10,3,10,10,8,10,10,10,7,10
"Estonia",10,3,10,10,5,10,9,8,10,10
"Estonia",5,7,4,7,9,7,5,9,5,7
"Estonia",8,2,9,5,1,9,6,6,8,9
"Estonia",7,4,7,8,2,8,7,5,5,8
"Estonia",5,2,10,8,6,9,6,3,9,10
"Estonia",7,3,8,8,1,10,8,1,10,9
"Estonia",10,4,6,10,5,10,10,8,10,6
"Estonia",4,2,8,8,2,9,8,4,8,7
"Estonia",4,2,10,8,9,9,5,5,10,8
"Estonia",10,1,8,8,5,8,9,6,5,10
"Estonia",8,4,8,6,1,10,8,8,10,6
"Estonia",6,6,6,6,6,6,6,6,6,5
"Estonia",8,5,10,9,4,9,7,9,10,8
"Estonia",5,3,5,10,6,6,6,4,10,5
"Estonia",8,5,6,5,4,4,5,6,6,6
"Estonia",5,2,9,8,2,5,6,1,10,9
"Estonia",8,1,10,10,1,7,9,1,8,8
"Estonia",7,4,8,8,4,9,9,1,10,9
"Estonia",9,3,9,10,1,10,6,2,10,10
"Estonia",6,7,5,9,4,8,8,4,8,6
"Estonia",7,3,9,7,2,8,7,2,9,7
"Estonia",4,6,5,8,1,5,10,10,10,8
"Estonia",5,3,10,8,4,10,8,7,10,8
"Estonia",7,3,10,8,2,10,7,6,10,9
"Estonia",5,5,7,5,1,6,2,4,8,10
"Estonia",8,7,10,9,7,8,5,6,10,9
"Estonia",5,1,8,8,1,8,7,3,10,8
"Estonia",1,5,5,10,5,8,6,7,1,6
"Estonia",8,3,9,10,3,10,8,4,9,10
"Estonia",8,1,10,10,10,8,7,1,10,9
"Estonia",7,4,9,6,3,6,7,1,9,8
"Estonia",7,4,8,7,4,8,4,3,9,7
"Estonia",4,9,10,5,4,10,3,3,10,10
"Estonia",8,1,10,9,3,8,1,1,10,10
"Estonia",5,2,10,7,1,10,5,5,5,9
"Estonia",8,6,5,8,8,8,8,8,8,8
"Estonia",10,1,10,8,4,10,7,2,10,9
